                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.035,                 2.2443,                 1.5535,                 0.6717,                0.39399,                0.44124,                0.16666,                 2.1763,                  1.923,                 3.6192,             0.00033153,             0.00033153,             0.00033153
                      2,                0.91109,                 1.4266,                 1.4231,                0.53463,                0.40163,                0.47252,                0.21953,                 2.0836,                 2.1503,                 3.1505,             0.00065828,             0.00065828,             0.00065828
                      3,                0.90965,                  1.236,                 1.4159,                0.80036,                0.48796,                0.52266,                0.18647,                 2.4149,                 1.7566,                 3.6483,             0.00097843,             0.00097843,             0.00097843
                      4,                 0.8897,                 1.0957,                 1.3875,                0.73283,                0.47828,                0.51087,                0.22162,                 2.1333,                 1.6316,                 2.9585,              0.0009703,              0.0009703,              0.0009703
                      5,                0.84608,                0.98102,                 1.3557,                0.63478,                0.73712,                0.71061,                0.42112,                 1.2973,                0.99277,                 2.0255,              0.0009604,              0.0009604,              0.0009604
                      6,                0.83355,                0.93565,                 1.3509,                0.79485,                 0.5324,                0.60704,                0.36587,                 1.3101,                 1.0725,                 1.9521,              0.0009505,              0.0009505,              0.0009505
                      7,                0.81462,                0.88095,                 1.3374,                0.74561,                0.66871,                0.75903,                0.50721,                 1.1514,                0.83144,                 1.7593,              0.0009406,              0.0009406,              0.0009406
                      8,                0.79478,                0.81759,                 1.3189,                0.55086,                0.61455,                0.56957,                0.31136,                 1.5135,                 1.3436,                 2.1299,              0.0009307,              0.0009307,              0.0009307
                      9,                0.79638,                0.82586,                 1.3222,                0.78653,                0.74388,                0.81947,                 0.4401,                 1.6226,                0.82853,                 2.3728,              0.0009208,              0.0009208,              0.0009208
                     10,                0.76953,                0.80352,                 1.3007,                0.63674,                0.74539,                0.76834,                0.42887,                 1.4013,                0.92732,                 2.1725,              0.0009109,              0.0009109,              0.0009109
                     11,                0.76817,                0.74658,                  1.293,                0.74069,                0.79123,                0.84159,                0.55628,                  1.073,                0.81568,                 1.6591,               0.000901,               0.000901,               0.000901
